id,y01,y02,y03,y04,y05,y06,y07,y08,y09,y10
155,582,612,622,836,677,595,576,597,615,606
156,582,612,621,833,675,594,576,597,615,605
157,582,611,621,829,674,594,575,596,614,604
158,582,610,619,826,673,593,575,595,613,603
159,582,609,618,823,671,593,574,595,613,602
160,581,608,618,820,670,593,574,594,611,602
161,581,607,616,817,669,592,573,594,610,601
162,580,607,616,814,668,591,574,593,609,600
163,580,606,615,811,667,591,573,592,609,599
164,579,605,614,808,665,590,572,592,608,598
165,579,604,613,805,664,590,572,591,607,597
166,578,603,612,802,663,590,571,590,606,596
167,578,603,612,799,661,589,571,590,606,595
168,578,602,611,796,660,588,571,590,605,594
169,577,602,610,793,659,588,570,589,604,593
170,576,601,609,791,658,587,570,588,603,592
171,575,600,608,788,656,587,569,588,603,591
172,573,600,608,786,655,586,569,587,602,591
173,573,599,607,784,654,586,568,587,601,590
174,572,598,606,781,653,585,568,586,600,589
175,570,598,606,778,652,584,568,586,600,589
176,569,597,605,776,650,584,567,585,599,588
177,568,597,605,773,649,583,567,585,598,588
178,567,596,604,771,648,583,567,584,598,587
179,566,596,603,769,647,582,567,583,597,587
180,566,595,603,767,646,582,566,583,597,586
181,565,595,602,764,645,581,566,582,597,585
182,564,594,601,762,644,581,566,582,596,585
183,563,594,600,760,643,580,565,581,596,584
184,563,593,600,758,641,580,565,581,595,584
185,562,592,600,755,640,579,564,580,594,583
186,562,591,599,753,640,579,564,580,594,583
187,562,591,598,751,640,578,564,579,593,582
188,562,590,597,749,638,578,563,579,593,582
189,561,590,597,746,637,577,563,578,592,581
190,561,589,597,744,636,577,563,578,592,580
191,560,588,596,743,636,576,562,577,591,580
192,560,588,596,740,635,576,562,577,590,579
193,559,587,595,738,634,575,562,576,590,578
194,559,587,595,736,633,574,562,576,589,578
195,558,586,594,734,632,574,562,576,589,577
196,558,586,594,732,631,574,561,575,589,577
197,558,585,594,730,630,573,561,575,587,577
198,557,585,593,728,629,573,561,574,587,576
199,557,584,593,725,628,573,560,574,586,576
200,557,584,592,723,627,572,561,573,586,575
201,556,583,592,721,626,572,560,573,585,574
202,556,583,591,720,625,572,560,573,585,574
203,555,583,591,718,624,571,560,572,584,574
204,555,582,590,715,623,571,559,571,584,574
205,554,582,590,713,622,570,559,571,583,573
206,554,581,589,712,621,570,558,570,583,573
207,554,581,589,710,620,570,558,570,582,572
208,553,580,588,708,619,569,558,569,582,572
209,554,580,588,706,617,569,557,569,582,572
210,553,579,587,704,616,568,557,568,581,571
211,553,578,587,703,616,568,557,568,580,571
212,553,578,586,701,615,567,556,567,580,571
213,553,577,585,699,613,567,556,567,580,570
214,552,577,585,698,612,567,556,567,579,570
215,552,576,584,696,611,566,556,566,578,570
216,552,576,584,695,611,566,555,566,578,569
217,552,576,583,693,609,566,554,565,578,569
218,552,575,583,691,608,565,554,564,577,568
219,552,574,582,690,607,565,554,564,577,568
220,551,574,582,688,606,564,553,564,576,568
221,551,574,582,687,606,564,553,564,576,567
222,550,573,581,686,605,564,552,563,575,567
223,550,573,581,684,604,563,552,562,575,566
224,549,572,580,683,603,563,552,562,574,566
225,549,572,580,681,603,563,552,562,574,566
226,549,571,579,681,602,562,552,561,574,565
227,549,570,579,679,602,562,552,561,574,565
228,549,570,579,677,601,562,551,560,573,565
229,548,569,578,676,600,561,551,559,572,564
230,548,568,577,675,600,561,551,559,572,565
231,548,567,577,674,599,561,550,558,572,565
232,548,567,576,673,598,561,550,558,571,565
233,548,566,576,671,598,560,550,557,571,565
234,548,565,576,670,597,560,550,556,570,565
235,548,565,575,669,597,560,550,556,570,565
236,547,564,575,667,596,559,549,555,570,565
237,547,563,574,666,596,559,549,555,569,565
238,547,563,574,665,595,558,549,555,569,565
239,548,563,574,663,595,558,548,554,569,564
240,547,562,574,662,594,558,548,554,568,565
241,547,561,573,661,593,558,547,553,567,565
242,547,561,573,660,593,558,547,553,567,564
243,547,560,573,658,593,557,547,552,566,564
244,546,560,572,658,592,556,547,552,566,563
245,546,560,572,656,592,556,547,552,566,563
246,546,560,572,655,591,556,545,552,565,562
247,546,559,571,654,590,556,546,551,565,561
248,545,558,571,653,590,556,545,551,564,560
249,545,558,571,652,589,555,545,551,564,559
250,545,558,570,651,589,554,545,551,563,557
251,544,558,570,650,588,554,545,550,563,556
252,544,558,570,648,587,554,544,550,563,555
253,544,556,569,647,587,554,544,550,563,554
254,544,556,565,646,586,554,544,550,562,553
255,543,556,565,645,585,554,543,550,562,552
256,543,556,565,644,585,553,543,549,561,551
257,543,555,564,642,584,553,543,549,561,550
258,542,555,563,641,583,553,542,548,561,550
259,543,554,562,640,583,552,543,548,560,550
260,542,554,562,639,582,552,542,548,560,549
261,542,554,562,638,582,552,542,548,560,549
262,542,554,562,637,581,551,542,548,560,548
263,541,554,561,636,581,551,542,547,559,548
264,541,553,561,635,580,551,542,547,558,548
265,540,553,561,634,580,551,541,547,558,548
266,540,553,560,633,579,551,541,547,557,547
267,540,552,559,633,579,550,541,547,557,547
268,540,552,559,632,578,550,541,546,557,546
269,539,552,559,631,578,550,541,546,557,546
270,539,552,558,630,578,549,540,546,557,546
271,539,552,559,629,577,549,540,545,556,546
272,539,551,558,628,577,549,540,545,556,545
273,538,551,558,627,576,548,540,545,556,545
274,538,551,558,626,576,548,540,545,555,545
275,538,551,557,625,576,548,539,545,555,545
276,538,551,557,624,575,547,539,544,555,545
277,537,550,557,623,574,547,539,544,554,545
278,537,551,557,621,574,547,539,544,554,544
279,537,550,556,621,574,547,539,544,554,544
280,537,550,557,620,573,546,538,543,554,544
281,537,550,556,619,573,546,538,543,553,544
282,536,549,556,618,572,546,537,543,553,544
283,537,549,556,617,572,546,537,543,553,544
284,536,549,556,616,573,546,537,543,552,543
285,536,549,556,616,572,545,537,542,552,543
286,536,548,555,614,573,545,537,543,552,543
287,536,548,555,613,572,544,537,542,551,543
288,535,547,555,612,572,544,536,542,551,542
289,535,547,555,612,572,544,537,542,551,542
290,535,547,554,611,572,544,536,541,551,542
291,535,546,554,610,571,543,536,541,550,542
292,535,546,554,609,571,542,536,541,550,542
293,535,546,554,608,570,542,536,540,550,542
294,534,546,554,608,570,542,536,540,550,541
295,534,546,553,607,569,541,535,540,550,541
296,534,546,553,607,568,540,535,540,549,541
297,534,546,553,606,567,540,535,540,549,541
298,534,546,552,606,566,540,535,541,549,541
299,533,547,552,605,564,539,535,541,548,541
300,533,547,552,605,563,538,535,541,548,540
301,532,547,552,604,562,538,534,541,548,540
302,533,546,551,603,561,538,534,542,548,540
303,532,547,551,603,560,537,534,542,547,539
304,532,547,551,602,560,536,534,542,547,539
305,532,547,551,601,559,536,534,542,547,539
306,532,546,551,601,559,536,533,542,547,539
307,532,546,550,600,558,536,533,542,547,539
308,532,546,550,600,558,535,533,542,546,538
309,532,546,550,600,558,535,533,542,546,538
310,532,546,549,598,558,534,532,542,546,538
311,531,545,549,598,557,534,532,542,546,538
312,532,544,548,597,556,534,532,541,545,538
313,531,544,548,596,557,534,532,541,545,538
314,531,544,548,596,556,534,531,540,544,537
315,531,542,548,595,556,533,531,540,544,537
316,531,542,548,594,555,533,531,539,544,537
317,531,540,548,593,555,533,531,537,544,537
318,531,540,547,593,554,533,531,536,543,537
319,532,539,546,592,554,533,531,535,543,537
320,531,538,546,592,554,532,531,534,542,537
321,531,537,546,591,554,532,531,533,542,537
322,531,537,546,590,553,532,530,533,541,536
323,531,536,545,589,553,532,530,532,540,536
324,531,535,545,589,552,532,530,531,539,536
325,531,535,544,589,552,532,530,531,539,536
326,531,534,544,588,552,532,530,530,538,536
327,531,534,544,587,552,532,529,530,538,536
328,531,534,543,587,552,532,529,530,537,535
329,531,534,542,586,551,531,529,530,537,535
330,531,533,542,585,551,531,528,529,537,535
331,531,533,542,585,551,531,528,529,536,535
332,530,533,542,585,550,531,528,529,536,535
333,530,533,541,584,550,531,528,529,536,535
334,529,532,541,584,550,530,528,529,536,535
335,529,532,540,583,550,531,527,529,535,534
336,529,532,540,582,550,531,527,529,535,534
337,529,531,540,582,550,531,527,529,535,534
338,529,531,540,581,549,530,527,529,535,534
339,529,532,539,581,549,530,527,529,535,533
340,529,531,539,581,549,530,527,528,534,533
341,529,531,539,580,549,529,527,528,534,533
342,528,531,539,580,549,530,527,528,534,533
343,528,531,539,579,548,529,527,528,534,533
344,528,531,539,579,548,529,526,528,534,533
345,528,531,538,578,548,529,526,527,534,532
346,528,530,538,578,548,529,526,527,533,532
347,528,530,538,577,547,529,526,527,533,532
348,528,531,538,577,547,529,526,527,533,532
349,527,530,537,576,547,529,525,527,533,532
350,527,530,537,576,547,528,526,527,533,531
351,528,530,537,575,547,528,525,527,533,531
352,527,530,537,575,547,528,525,527,533,531
353,527,530,537,574,547,528,525,527,532,531
354,527,530,536,574,547,528,525,527,533,531
355,528,530,536,574,547,527,524,527,532,531
356,528,529,536,573,547,527,525,527,532,531
357,528,530,535,573,547,527,525,526,532,531
358,527,530,535,573,546,527,525,526,532,530
359,527,530,535,572,546,527,524,526,532,530
360,527,529,535,572,546,526,524,526,531,530
361,527,529,535,571,546,526,524,526,531,530
362,527,529,534,571,545,526,524,526,530,530
363,527,529,534,571,545,526,524,525,530,529
364,526,529,535,571,545,527,524,525,530,529
365,526,528,534,570,544,528,524,525,530,529
366,526,528,534,569,545,529,523,525,530,529
367,526,528,534,569,544,528,523,524,530,529
368,526,528,534,569,544,529,523,524,530,529
369,525,528,533,569,544,529,523,524,529,528
370,525,528,533,568,544,529,523,524,529,528
371,525,528,533,568,544,530,522,523,529,528
372,525,528,533,568,544,529,522,523,529,528
373,525,528,532,567,544,529,522,523,529,528
374,525,528,532,567,544,529,522,523,529,528
375,525,528,532,567,544,529,522,523,529,527
376,524,528,532,566,544,529,521,523,529,527
377,524,528,532,566,543,529,522,523,529,527
378,523,527,532,565,543,529,521,523,529,527
379,524,527,532,565,543,528,521,523,528,527
380,524,528,531,565,542,527,521,523,528,527
381,523,528,531,565,543,526,521,523,528,526
382,523,527,531,564,543,525,521,523,528,526
383,522,527,531,564,542,524,521,523,528,527
384,523,527,531,564,542,523,521,523,528,526
385,523,527,530,563,542,522,521,523,527,526
386,522,527,530,563,541,521,520,523,527,526
387,522,528,530,563,541,520,520,523,527,526
388,522,527,530,562,541,519,520,523,528,526
389,522,527,530,562,540,519,520,523,528,526
390,522,527,529,562,540,519,519,523,529,526
391,522,527,529,561,539,518,520,523,529,526
392,521,527,529,561,539,518,519,522,529,526
393,521,527,528,560,539,518,519,522,530,526
394,521,526,528,560,539,518,519,522,530,525
395,521,526,528,560,538,518,518,522,530,525
396,521,526,528,559,538,517,518,522,530,525
397,521,526,528,558,538,517,518,522,530,525
398,521,526,528,558,538,517,517,522,530,525
399,521,525,527,558,537,517,516,522,530,526
400,521,525,527,558,537,517,516,522,529,525
401,521,525,527,557,537,517,516,521,530,525
402,521,524,527,557,537,517,515,521,529,525
403,522,524,527,556,537,517,514,521,529,525
404,522,524,527,556,536,517,514,521,529,525
405,522,524,527,556,537,517,514,521,528,525
406,521,524,526,556,536,516,514,521,527,524
407,521,523,526,555,536,517,513,521,527,524
408,521,523,526,555,536,516,513,521,525,524
409,521,523,526,555,536,516,512,521,524,524
410,521,523,526,555,535,516,512,521,523,523
411,521,523,526,555,535,516,512,521,522,523
412,521,522,526,555,535,516,512,520,521,523
413,521,522,526,554,535,517,512,521,520,522
414,521,522,525,554,535,516,512,521,520,523
415,521,522,525,554,535,516,511,520,519,523
416,520,522,525,554,535,516,510,520,519,523
417,520,522,525,554,535,516,511,520,519,523
418,520,522,525,554,535,516,511,520,518,522
419,520,521,525,554,535,516,511,520,519,522
420,520,521,525,553,535,516,512,519,518,522
421,519,521,525,553,535,516,511,519,518,521
422,519,521,525,553,535,516,511,519,518,521
423,519,521,525,553,535,516,511,519,518,521
424,519,521,525,553,535,516,511,519,517,521
425,519,521,525,552,535,516,512,519,517,521
426,519,520,525,552,534,515,511,518,517,521
427,519,520,525,552,534,515,511,519,517,521
428,519,520,525,552,534,515,511,518,517,521
429,519,520,525,552,534,516,511,518,517,520
430,519,520,525,552,534,515,511,518,517,521
431,518,520,525,551,534,515,511,518,517,520
432,519,520,525,551,534,515,511,517,516,520
433,519,520,525,551,533,515,511,517,517,520
434,518,519,525,550,534,515,511,517,516,520
435,519,519,525,551,534,515,511,517,516,520
436,518,519,524,550,533,515,511,516,516,520
437,518,519,524,550,533,515,511,516,516,520
438,518,519,524,549,533,514,511,516,516,519
439,518,519,524,549,533,515,511,516,516,519
440,518,519,524,549,533,514,510,515,515,520
441,517,519,523,549,533,514,511,515,516,519
442,517,518,523,548,533,514,510,515,516,519
443,517,518,523,548,532,515,510,515,516,519
444,517,519,523,548,533,514,510,515,516,519
445,517,518,523,547,532,514,509,515,516,519
446,517,518,523,547,533,514,509,515,516,519
447,517,518,523,547,532,514,509,515,515,519
448,517,518,523,547,532,514,509,515,516,519
449,517,518,523,546,532,515,509,515,515,519
450,517,518,523,546,532,514,509,515,515,519
451,516,518,523,546,532,514,509,515,515,519
452,517,518,522,545,531,514,509,515,515,519
453,516,518,522,546,531,514,509,515,515,518
454,516,518,522,546,531,514,508,515,515,519
455,516,518,522,545,531,514,509,515,515,518
456,516,518,522,545,531,514,508,515,515,518
457,516,518,522,545,530,514,508,515,514,518
458,516,518,522,545,531,514,508,515,514,517
459,516,518,521,544,530,514,508,515,514,517
460,515,518,521,545,530,514,508,515,515,517
461,515,518,520,544,530,513,508,515,514,517
462,516,518,521,544,529,513,507,515,514,516
463,516,518,520,543,529,513,507,515,514,516
464,515,518,520,543,529,513,507,515,514,517
465,515,518,520,543,529,513,508,514,514,516
466,515,518,520,543,529,513,508,515,514,516
467,515,518,520,543,529,513,509,515,514,517
468,515,518,520,542,529,513,509,515,514,516
469,515,518,520,542,529,513,509,515,514,516
470,514,518,519,541,529,513,510,515,514,516
471,515,517,519,541,528,513,510,515,514,516
472,514,518,519,541,528,513,511,514,514,516
473,514,518,519,541,528,513,510,515,514,516
474,514,517,519,540,528,512,511,515,514,516
475,514,518,518,540,528,512,511,514,514,516
476,514,518,519,539,528,512,511,514,514,516
477,514,517,518,539,528,512,511,514,513,516
478,514,517,518,538,528,512,511,514,514,516
479,513,516,518,538,527,512,511,514,514,516
480,514,517,517,537,527,512,511,514,513,516
481,513,516,517,537,527,512,511,513,513,515
482,513,516,517,537,528,512,511,513,513,515
483,513,516,516,536,527,512,510,513,514,516
484,513,516,516,536,527,512,509,513,514,516
485,513,516,516,536,526,512,508,513,513,515
486,513,516,516,536,526,511,507,514,514,515
487,512,516,515,536,526,511,506,513,514,515
488,512,515,515,535,526,511,505,513,514,515
489,512,515,515,535,526,511,504,513,514,515
490,512,515,514,535,526,512,503,513,514,515
491,512,515,514,535,525,512,503,513,514,514
492,512,515,512,534,526,512,502,513,514,515
493,512,515,513,534,525,511,501,513,514,515
494,511,515,512,533,525,511,501,513,514,515
495,511,515,512,533,525,511,501,512,514,514
496,511,515,513,533,525,511,501,512,514,514
497,512,515,513,533,525,511,501,512,513,515
498,512,515,513,532,525,511,501,512,513,515
499,512,515,513,532,525,511,501,512,514,514
500,512,514,513,532,525,511,501,512,513,514
501,511,514,513,532,525,511,501,512,513,514
502,511,514,513,532,525,511,501,511,513,514
503,511,514,513,532,524,511,501,511,513,514
504,511,514,513,532,525,511,500,512,513,514
505,511,514,513,532,524,510,500,512,513,514
506,511,514,513,532,524,511,500,511,513,514
507,511,513,513,532,523,510,500,511,513,514
508,510,513,513,532,523,510,501,511,513,514
509,511,513,513,531,523,510,500,511,513,514
510,510,513,513,531,523,510,500,511,513,513
511,510,513,513,531,523,510,500,511,513,513
512,510,513,513,531,522,509,500,511,513,513
513,510,512,513,531,522,509,500,512,513,513
514,510,512,513,531,522,509,500,512,512,513
515,510,512,513,531,522,509,500,512,513,513
516,510,513,513,531,522,509,500,511,512,513
517,510,512,513,531,522,509,500,510,512,513
518,510,512,513,531,521,509,500,510,512,513
519,509,512,513,531,522,509,500,510,512,513
520,509,512,513,531,521,509,500,510,512,513
521,509,512,513,531,522,509,500,510,511,513
522,509,512,513,531,522,508,500,510,511,513
523,509,512,513,530,522,509,500,510,511,513
524,509,511,512,530,521,509,500,510,512,513
525,509,511,513,530,522,509,499,510,512,512
526,509,511,513,530,522,509,500,509,511,512
527,509,511,512,529,521,509,500,510,511,512
528,509,511,513,529,521,509,500,509,511,512
529,509,512,512,529,521,509,500,510,511,512
530,509,512,512,529,521,509,500,510,511,512
531,509,511,512,529,521,509,500,510,511,512
532,509,511,512,529,520,509,500,510,511,512
533,509,511,512,529,520,509,499,510,511,512
534,509,511,512,529,520,509,500,509,511,512
535,508,511,511,528,520,509,500,509,511,511
536,508,511,511,528,520,509,500,509,511,511
537,508,511,511,528,520,509,499,509,512,511
538,508,511,511,528,520,509,499,509,511,511
539,508,511,511,527,519,509,499,509,511,512
540,508,511,512,527,520,509,500,509,511,512
541,508,511,511,527,519,508,500,509,511,512
542,507,511,511,527,519,509,500,509,511,511
543,508,511,511,527,519,508,499,510,511,511
544,507,511,511,527,519,508,499,510,511,511
545,507,512,511,527,519,508,499,510,511,511
546,507,512,511,526,519,508,499,509,511,511
547,507,511,511,526,518,507,499,510,511,511
548,507,510,511,526,519,507,500,509,511,511
549,507,510,511,526,519,507,500,509,511,511
550,507,510,510,526,519,507,500,509,511,511
551,507,510,511,526,518,507,500,509,510,511
552,507,510,511,525,519,507,500,509,511,511
553,507,510,510,526,518,507,500,509,510,511
554,507,510,510,526,518,507,500,509,510,510
555,507,510,510,525,518,507,500,508,510,510
556,507,510,510,525,518,506,500,508,510,510
557,507,510,510,525,518,506,500,508,510,510
558,507,510,510,525,518,506,500,508,510,510
559,507,510,510,525,518,506,501,508,510,510
560,507,509,510,525,518,507,500,507,510,510
561,507,509,509,524,518,507,500,507,510,510
562,507,509,510,524,517,506,500,507,510,509
563,507,509,510,524,517,506,500,507,509,510
564,507,509,510,524,518,506,500,507,509,510
565,507,509,509,524,517,506,500,507,510,509
566,507,509,509,524,517,506,500,507,510,509
567,507,509,509,524,517,506,499,507,509,509
568,507,509,509,523,517,506,499,507,509,509
569,507,509,509,523,517,505,500,507,509,509
570,506,509,509,523,517,505,500,506,509,509
571,506,508,509,523,516,505,500,507,509,509
572,506,508,508,523,516,505,500,506,509,508
573,506,508,509,523,516,505,500,506,509,508
574,506,508,508,522,516,505,499,506,509,508
575,506,508,508,522,516,505,499,506,509,508
576,506,508,508,522,516,505,499,506,509,508
577,506,508,507,522,516,505,499,506,509,508
578,506,508,507,522,515,505,499,505,508,508
579,506,508,507,522,515,505,499,505,508,508
580,506,508,507,521,515,505,499,505,509,508
581,505,508,507,521,515,505,499,505,508,508
582,506,507,507,521,515,504,499,505,508,508
583,505,507,507,521,515,505,499,505,508,508
584,505,507,506,519,515,505,499,505,508,507
585,506,507,506,519,515,504,499,505,508,507
586,506,507,506,518,514,504,499,505,508,507
587,505,507,506,519,514,503,499,505,508,507
588,506,507,506,518,514,503,499,505,508,507
589,506,507,506,519,514,503,499,504,508,507
590,505,507,505,518,514,503,498,505,508,507
591,506,507,505,518,513,503,498,504,508,507
592,505,507,505,518,513,503,498,505,508,507
593,505,507,506,517,513,503,498,504,507,506
594,505,507,505,517,513,503,498,504,507,507
595,505,507,505,517,513,503,498,505,508,507
596,505,507,505,517,513,503,498,504,508,506
597,505,507,505,517,512,503,498,505,508,506
598,505,507,505,517,513,503,497,504,507,506
599,504,507,505,517,512,503,497,504,507,506
600,504,507,504,517,513,503,497,504,507,506
601,504,506,504,516,513,503,497,504,507,506
602,504,507,504,516,512,504,497,504,507,506
603,504,507,504,516,512,504,497,504,507,506
604,503,506,504,516,512,503,497,504,507,506
605,503,506,504,516,512,504,496,504,507,505
606,503,506,504,516,512,503,496,504,506,505
607,503,506,504,515,512,503,496,504,507,505
608,503,505,504,516,511,503,496,503,506,505
609,502,505,504,515,511,503,496,503,506,506
610,503,505,504,515,512,503,496,503,506,505
611,502,505,504,515,512,503,496,503,505,505
612,502,505,503,514,512,503,496,503,505,506
613,502,505,503,514,512,503,496,503,505,505
614,502,505,503,513,512,503,496,503,505,505
615,502,505,502,513,512,503,497,503,504,505
616,502,505,502,513,512,502,496,503,504,505
617,501,505,502,512,511,503,496,503,504,506
618,501,504,501,512,511,503,496,503,504,505
619,501,504,501,512,511,503,496,503,504,506
620,501,504,501,511,511,502,496,503,504,505
621,501,504,501,511,511,502,496,503,504,505
622,501,505,500,511,511,502,496,503,504,505
623,501,504,500,511,511,502,496,502,504,505
624,501,504,499,511,511,502,496,502,504,505
625,501,504,499,511,511,502,496,502,504,506
626,501,504,499,511,511,502,497,502,504,506
